,description
1719,An outcast gambler hijacks a wagon train of eligible women taken west by a mayor.
1720,A pretty singer/dancer is becoming an actress whereas the playboy crown prince is becoming a monarch. The both will have their clandestine romance interfered with by their changing circumstances.
1721,"Recently discharged cavalry sergeant Chad Santee (Buster Crabbe) joins his brother, Jubal (Neville Brand), and discovers that Jubal is a wanted outlaw.  On the way he meets Rose Fargo and rescues her from the unwanted advances of a gambler, ""Blackjack"". When Chad and Rose arrive they find that Jubal and his partner, Shawnee, are really rustlers and outlaws. Jubal tries to get Chad to join them but he refuses, and leaves to set up his own homestead with Rose at his side. Later, the repentant Jubal comes to join him. Shawnee, angry at what he considers a double-cross, attacks the brothers with his gang."
1722,"After turning against friends of his Kung Fu teacher, Cheung Li Kung is banished to Malaysia, but instead of reforming, Cheung sets up a casino to steal wages back from the miners who work for him. When he also kidnaps the local store owner's daughter, and beats her after she refuses his advances, only those familiar with the invincible techniques of Bruce Lee can stop Cheung's evil use of Kung Fu. They must battle the menacing Malaysian bullwhip expert, and even berserk apes, in furious non-stop action that demonstrates the Shaolin Grand Master's deadly dragon fist, snake and tiger techniques."
1723,"A small-town district attorney is saddled with several major investigations, including a gambler's murder and a possible insurance scam."
1724,"When an African-American biker gang is tricked into believing that a white biker gang is planning a war, all hell breaks loose."
1725,"An Ottawa police captain searches for the person who poisoned his sister, who was attending the university in Montreal. So desperate is he for revenge that he begin to use his own brutal methods to find the killer. Soon he discovers that not everything is what he thought it was."
1726,"After being discharged by the Air Force, a pilot tries to make a living in Taipei."
1727,Anandha Jodhi is a Tamil language film starring MGR in the lead role of the protagonist
1728,"Mitzi Gaynor and her guests Gavin MacLeod (The Love Boat), John McCook (The Young and the Restless), and musician Benny Goodman explore trends of the 1970's ranging from Jazz and Disco to Soap Operas and King Tut-mania. Songs include ""Satin Doll,"" ""I'm Hip"" (with Goodman), ""Nice Work if You Can Get it,"" and ""Can't Smile Without You."""
1729,A man (Rajesh Khanna) comes to the rescue of a woman (Hema Malini) who is being molested by her boss and hires her on as his secretary.
1730,A group of five Confederate mercenaries led by Sergeant Will Hansen must choose sides carefully in a small village where they find themselves trapped in the middle of a rebellion. The group is torn as to whether they should honor the powerful military dictator who forces them to spy for him or help the local village fight for its independence. Follow Sergeant Hansen and his men as they make a decision that could cost them their lives.
1731,"Former Coastguardsmen Jim Benson is about to lose his boat when a couple approaches him for a fishing charter. Jim departs just ahead of the Sherrif with drunken Shanks, and his companion Sally (Gates). Shanks takes off into a small Mexican village after a fight with Jim, stranding both Sally and him with no money. Two local men hear of Jim's plight, and offer him money to smuggle a batch of illegal aliens, called Wetbacks, into the U.S. He agrees but is blackmailed into continuing to run the smuggling operation. Afraid, Jim decides to make a run for it, but someone close to him reveals themselves as a US Immigration agent and asks him to assist them in shutting down the smugglers for good."
1732,"""The Commissioner"" sent US special agent Steve Mitchell to exotic locales where he encounters adventure and international intrigue, all played out using extreme violence."
1733,Kula Deivam was based on a Bengali film Banga Kora by noted writer Prabhavathi Devi Saraswathi
1734,The son of a wealthy industrialist aspires to be a singer against the wishes of his father.
1735,"Financier persuades his mistress to marry a rich industrialist for his money, then discovers that he and the new wife are to be murdered by her new husband."
1736,"It's time to celebrate Halloween with ghosts and monsters. Let's sing and dance with monster friends. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by educational experts."
1737,"Film starring Navin Nischol, Shabana Azmi and Dilip Dhawan"
1738,Story of the various joys and crises of neighbors who share terraces in a high-rise apartment building.
1739,"Bombay-based Rajesh lives a fairly wealthy lifestyle with his parents, mom - a housewife and dad - a rather parsimonious businessman, named Amirchand. One day while walking on the beach, he comes across a beautiful blind girl named Shivani. He instantly falls in love with her. She also likes him, but understands that they cannot be married. Regardless of this, Rajesh asks his parents to permit him to marry her, to which his mother agrees, but his father refuses. Then Mr. Rai, Amirchand's friend, intervenes, he offers to pay for getting Shivani's eyes tested, and if she succeeds in getting her sight, then and only then can Amirchand permit his son to marry her."
1740,"On his motorcycle Stein, a half-blood Indian, tries to stay out of the hands of the police, who are chasing him for accidentally killing a cop. Together with his friend Alan and a beautiful but desperate girl Stein will get involved in a robbery and more death. The police intensify the search, but the three won't give up that easily."
1741,"Cruze arrives in town and when he stands up to the three Moran brothers, he gets appointed Marshal. First the brothers kill a rancher while framing another man. But when the jailer is murdered, Cruze gets evidence the Morans did it. He tries to raise a posse to chase them down but the townsmen refuse to go. So he rides off by himself to face the three of them."
1742,"A gang of con artists disguise themselves as clerics in order to pull off a job, but soon find that even pretending to be religious people is having an effect on them."
1743,An ex-con finds unexpected romance with the widow of his former accomplice as he tries to collect his hidden loot.
1744,"After exhaustive training, a police dog joins an arson investigation."
1745,"Just before the Civil War (but after the South has seceded), Southern saboteurs try to prevent railroad construction from crossing Kansas to the frontier; army captain Nelson is sent out to oppose them. As the tracks push westward, Nelson must contend with increasingly violent sabotage, while trying to romance the foreman's pretty daughter Barbara."
1746,"This Italian western comedy has no shooting deaths, but a lot of fistfights. Provvidenza is a bounty hunter. He makes his living solely by catching his dim but powerful friend, the Hurricane Kid (Gregg Palmer) and turning him in for the reward money. A fully armed horseless carriage is one of the inventive elements of this film. One of the film's sillier highlights is an amazingly loud and long belch by the Kid. -From http://www.spaghetti-western.net"
1747,"A thinly-disguised biography of African leader Patrice Lumumba, here called Lalubi. Lalubi, a Christ-like leader determined to save his people, by passive resistance, from the dictatorial regime propped up by European colonialists, is imprisoned and tortured, along with a thief who comes to a greater understanding through his contact with Lalubi."
1748,"After 14 years in the United States, Greg Dickson returns to his family's plantation in the Philippines to settle his slain father's estate. Boyhood friend Bart Rogers and his wife Cindy meet Greg's plane at Manila, but he dismisses their warnings about the marauding Huks, fanatic guerrillas who are plundering nearby plantations. They repulse a Huk attack on the way to the plantation and are met by Stephen Rogers, Bart's father and the village schoolteacher. With him is Philippine Army Major Balatbat who tells Greg that Kalak, leader of the Huks and murderer of Greg's father, is also after him."
1749,"Banker Mason is after the ranchers land so he can resell it to the railroad for a profit. He has the railroad agent killed and replaces him with his stooge who then offers even less than Mason. But Rocky eventually suspects Mason and when Bill Anderson informs him the agent is a fake, they head out after Mason"
1750,"Danny, a greenhorn from New York comes to the Mexican border in search for his older brother whom he has always looked up to. A Texas Ranger charged with bringing  in, El Tigre and his gang of bandits,  takes Danny under his wing."
1751,"The legendary Lucille Ball as you've never seen her before! Laugh along with Lucy and Desi in these extremely rare television appearances, beautifully restored! Includes a rare appearance of the I Love Lucy cast on the Bob Hope Show and the lost Lucy pilot. A must-have collection of gems from the first lady of comedy! - The I Love Lucy cast on the Bob Hope Show - Westinghouse special with Lucy and Desi - Segment with Lucy on the game show I've Got a Secret with panelist Johnny Carson - A rare lost Lucy pilot directed by Desi."
1752,A criminal gang provokes the local Apaches in order to divert the authorities' attention from their own activities.
1753,"A group of communist spies plan to blow up an essential commercial artery, the Panama Canal. To this end, they have kidnapped a nuclear scientist and are traveling by steamship to the coast of South America. Luckily for western civilization, the hard-nosed ship's captain, played by Barton MacLane, has other ideas."
1754,"A peasant who works in a mahogany camp in the Mexican jungles with his family is disgusted with the miserable living conditions imposed upon himself and his co-workers, the peasant finally spearheads a revolt against the sadistic bosses."
1755,"A gang leader targets the daughter of an enemy who's been promised to a local fighter. After losing his leg to a poison arrow, the fighter learns to fight again using a metal leg."
1756,"Blockbusters is an American game show which had two separate runs in the 1980s. Created by Steve Ryan for Mark Goodson Productions, the first series debuted on NBC on October 27, 1980 and aired until April 23, 1982. In the first series, a team of two family members competed against a solo contestant. Blockbusters was revived on NBC from January 5 to May 1, 1987, but featured only two contestants competing.

Bill Cullen hosted the 1980–1982 version, with Bob Hilton as announcer. Johnny Olson and Rich Jeffries substituted for Hilton on occasion, with Jeffries taking over for the final two weeks. Bill Rafferty hosted the 1987 version, with Jeffries announcing the entire run."
1757,Raja returns from war only to learn that tragedy struck his family while he was away. He decides to help his son by leaving his village and seeking treatment for him.
1758,"Father Kino , a 17th-century Jesuit missionary, dedicated his life to helping Native Americans in the Southwest by teaching them agricultural skills as well as building missions and spreading Christianity. An explorer, astronomer and map maker, Father Kino surmounted numerous challenges as he journeyed through California, Arizona and Mexico."
1759,"Sawan Ki Ghata is a 1966 Bollywood film produced and directed by Shakti Samanta. The film stars Manoj Kumar, Sharmila Tagore, Mumtaz, Pran, Madan Puri."
1760,"US-Navy pilot Lt. Richard Tabor crash-lands on a south Pacific isle called Love Island in English. Richard befriends the Balinese beauty Sarna. The bad and jealous Jaraka doesn't like their friendship, so he has Sarna's father Aryuna arrested on a vague charge. Jaraka tells Aryuna that he only will be released when his daughter marries him."
1761,"Pachai Vilakku (English: Green Lantern) is a 1964 Indian Tamil film, directed by A. Bhim Singh and produced by Rama. Arangannal, A. R. Hassan Khan and T. S. Aadhi Narayanan. The film stars Sivaji Ganesan, C. R. Vijayakumari, S. S. Rajendran and S. V. Ranga Rao in lead roles. The film had musical score by Viswanathan–Ramamoorthy."
1762,A singing doctor (Gene Autry) on horseback heals a feud between cattlemen and copper miners.
1763,"The filmed record of an expedition to the African interior, with scenes of animal life and native customs and practices."
1764,"A reporter learns that his girlfriend's father, an old sea captain, is being paid by the mob to transport gangsters out of the country."
1765,A young boy grows to adulthood believing his father was the man responsible for a murder committed during a bank robbery.
1766,"Set in post war Japan, the film tells the tale of a woman looking for her missing brother. Her brother operated a small export business and has suddenly disappeared. Strangely his business partner has also vanished."
1767,The Hurley's own a lumber mill and want to harvest all the timber in the valley. They kill the Forester and substitute their brother Dusty in his place. Dusty then says all the trees are infected and must be cut down. But Rex Allen is suspicious and writes to the Forestry Department and gets involved with the murders.
1768,A pair of miners attempt to muscle their way into a life of crime. 'Hilarity' ensues.
1769,"Amar Shaheed Bhagat Singh is a biopic movie based on the life of Shaheed Bhagat Singh. The hardships faced by this freedom fighter for our country, is well portrayed in this film."
1770,"Harichandra (Tamil: ஹரிச்சந்திரா) is a 1968 Indian Tamil film, directed by K. S. Prakash Rao and produced by G. Varalakshmi. The film stars Sivaji Ganesan, G. Varalakshmi, T. S. Balaiah and K. A. Thangavelu in lead roles. The film had musical score by K. V. Mahadevan"
1771,"Matt Stevens is the big man at high school. He sweats the students for protection money, acquires copies of tests for a fee, and has rigged the votes so he can beat Kelly in the election for student president. Aside from his anointed acolytes, Matt is almost universally despised. His parents are obscenely rich and spend their time travelling in Europe rather than giving him the parental guidance he needs. Things begin to get ugly when some of the teens resist his power and show Matt up at the drag race."
1772,"The city witnesses series of abductions, burglary, extortion-all involving rich people. Police investigations lead to the ring leader of a gang and the discovery is shocking."
1773,Thai Piranthal Vazhi Pirakkum is a Tamil Emotional Family Drama. Prem Nazir is a doctor and son of V.K.Ramasamy who gives much importance to money. V.K.Ramasamy doesn't like S.S.Rajendran as he supports farmers. Rajasulochana is S.S.Rajendran's sister. Her marriage gets stopped and S.S.Rajendran goes to jail because of V.K.Ramasamy. The rest of the story is how S.S.Rajendran avenges V.K.Ramasamy.
1774,"Savithri, who does not have any kids with her husband, decides to adopt her sister's child. Things take a turn when her sister meets her child after many years and yearns for him."
1775,A Texas Ranger tries to bring down counterfeiters selling fake lottery tickets.
1776,"After her husband’s death, a woman struggles to raise her only son. Later, he becomes a famous surgeon and gets married to a wealthy girl but misunderstandings drive them apart."
1777,"An Eastern European escapes to America, where Communist agents try to track him down."
1778,A woman betrayed and betrayed by a man falls into despair and ends up killing him.
1779,AVM Rajan the protagonist lives in a joint family is an easy going guy. Unfortunately AVM Rajan's father loses his eyesight in an accident and family struggles financially to run daily life. AVM Rajan joins for job and meets Vanishree. How AVM Rajan and Vanishree break the plans of Cho and conduct AVM Rajan's sister Lakshmi's marriage and how everyone gets united forms the climax of the movie.
1780,"Sunil and Sonia are attracted to each other, and both get married. On the way to celebrate their honeymoon, they spend a night at Sunil's boss's bungalow, which is occupied by his son, Dhiraj. Dhiraj welcomes the two, and allows them to spend the night. Next morning, when Sunil leaves the house, Dhiraj sexually assaults Sonia, but he is interrupted by Sunil's return. A fight ensues, and Dhiraj is killed. The police arrest Sunil, and he is sentenced to prison for life. On the way to the prison, a fight breaks out amongst the prisoners, and the driver loses control, killing all occupants of the van. Devastated at this turn of events, Sonia relocates and becomes a school-teacher and lives as a widow. Years later, she finds out that Sunil is still alive, now goes by the name ‘Sudhir’, is married to a rich and attractive woman named Chandni, and even has a child."
1781,"Captain Hunt of the cavalry is trying to promote good relations with the Indian chief Acoma. But Hunt's superiors in the military insist on pursuing policies that will provoke a conflict, and Chief Acoma is not willing to let himself be insulted."
1782,"Tracy Powell, an Indiana farmer, gets the gold fever and heads for Stockton, California in 1849. There, he abandons his first partner, Bert Killian, and teams up with Sam Wilkins, a claim jumper employed by Willis Haver. Six years later, Powell returns to Indiana and his sweetheart, Julie. They marry and he tries farming again but, on the night their son is born, he takes off again searching for gold. This time he heads for the hills with an inveterate prospector, Jimmo McCann. A decade later, the two are still hunting for their big strike when McCann is killed in an accident. Powell returns home with news of a big strike but the deserted Julie will have nothing to do with him. His friend Killian will not believe him but Haver, now a banker gives him a small loan and then beats him out of his claim. Many years pass before he comes home, now sixty-years-old, and this time, his wife and son open their home to him. But he vows to go prospecting come next spring."
1783,"Gene Autry is assigned to safely transport supplies to a band of settlers. The villains, headed by Ross McLain (Kenne Duncan), intend to bushwhack Autry, grab the supplies, and sell them at high prices to a local mining camp."
1784,"A dialogue free Romanian science-fiction spy-comedy that draws upon farce, satire and surrealism as it subversively deconstructs the spy thriller with the protagonist's accidental discovery of a nuclear suitcase bomb and the subsequent fight over ownership between the rival powers of the criminals and the military."
1785,
1786,"Radha lives with her widowed dad and is of marriageable age. Accordingly her details her provided to a marriage-broker, Avtar, who also doubles as a Ved (Village Doctor). He brings the proposal before Shriram and his wife, Sita. They approve of Radha and show her photograph to Shriram's brother, Dr. Madhu, who agrees to marry her. The marriage is celebrated with great pomp and ceremony in the entire village. It is then that the Shriram, Sita, and Madhu find out that Radha has a serious illness - a fact that was known to Avtar - but not communicated to them. This illness prevents her from being intimate with Madhu, and the only cure is when she has a child of her own. Will this marriage be annulled?"
1787,Film noir parody with a private eye trying to solve the murder of his milkman.
1788,A villainous cavalry officer is trying to force the owner of a hacienda to give him his land when a courageous settler comes to the rescue.
1789,"At the close of the Civil War, a band of Southern guerillas disguised themselves as Union soldiers, the better to perform acts of sabotage in Utah. Autry plays a cavalry scout who goes after guerilla leader McQuarrie (Jim Davis)."
1790,Bhalu is a Marathi movie released in 1980. Produced by Uma Bhende & directed by Raj Dutt. Story is based on a girl whose guardian is falsely accused of a crime he did not commit & the sea of troubles she has to face to clear his name.
1791,"Madhavan marries Thangam. He takes care of Thangam’s mother and brother along with his younger brother. Meanwhile, Madhavan gives shelter to his father’s mistress and her daughter. The evil ladies allege Thangam for loose morals. The rest of the story is how they come into good terms."
1792,"Well off widow working Mother ""Mona"" is struggling raising 6 kids at different ages ranging from elementary school to University graduating students. The day she thinks to bring a new husband home proves to be a very difficult task."
1793,"Case Britton, gunslinger and wanted man, comes to town to meet his bride-to-be, stop a stagecoach robbery, and get even with the man who killed his brother."
1794,"Porthwar-based Santram is killed while fleeing from Muslims during the religious riots of 1948 following the partition of Pakistan from India. His wife, Tagpyariye, manages to flee along with their sons, Kartar and Ram, but gets separated from them, and the children end up with her servant, Dukhiya. Shortly thereafter Kartar, too, gets separated, leaving Ram alone with Dukhiya. Three years later, Ram runs away after being physically abused and forced to steal by Dukhiya, and unknowingly befriends Kartar, and the duo go to work with Subedar Varyam Singh. Years later, Kartar is a farmer, while Ram has received an education from the city. Both are still unaware of their relation, until they meet with Dukhiya, who also informs them that their mother is also alive. Before they could be reunited with her, misunderstandings over who is to marry Ajeet Kaur, the daughter of Varyam, tear the brothers apart - so much so that they not only separate - but also take up arms against each other - both determined to marry Ajeet at any and all costs."
1795,The action revolves around two friends played by Vyjayanthimala and Anjali Devi. In Tamil.
1796,Underwater exploration by oceanographers and geologists round the coast of Southern California and Mexico. Portrays many species and varieties of fish and mammals as well as ocean flora and rock formation.
1797,"Two men search the jungle for a woman who has been captured by a tribe of murderous gorillas. When they finally find her, they must fight off attacks by the gorillas, who are determined to keep her."
1798,"Gene Autry is back in the saddle again as an undercover detective in this action-packed Western complete with a showdown. Gene poses as a jailbird to wangle the truth from a boy (Dick Jones) suspected of stealing an Army payroll. When the youngster escapes from lockup and rejoins his family's medicine show, intrigue is in the wind as Gene tries to solve the mystery of the missing money and to save the lad from a vicious mob. Pat Buttram co-stars."
1799,"Series western, sequel to Manuel Saldivar el Texano."
1800,"In this musical salute to Spring, Mitzi Gaynor is joined by country music star Roy Clark (Hee Haw), actor Wayne Rogers (MASH) and the US Olympic Gymnastics Team for a colorful tribute in song, dance and comedy sketches to the earth's season of renewal. Songs include ""You Make Me Feel Like Dancing,"" ""Isn't it Romantic,"" and ""Yankee Doodle Dandy."""
1801,"A gunman receives a request for help from his brother, but arrives too late to save him from the lawless rancher who wanted him dead."
1802,An American anthropologist and his son benefit from their experiences with an East African tribe.
1803,"Laxman has always been the black sheep of the family, and is regarded by them as a no-good slacker. His brother, Ram Narayan, who works in jewellery store, asks him to deliver some money to a businessman out of town, but Laxman instead gets an expensive necklace for a girl named Seema, he just met, just to impress her. Laxman's friend, Rita, finds out that her jewellery is fake, and accuses Ram. Ram assures everyone that he will settle this matter with Rita. The next day Rita is murdered, and Ram is arrested, and imprisoned. Everyone has given up hope for Ram's release, except for Laxman, who has now decided to go straight, and get his dad out of this mess, not knowing that he, himself, is jeopardizing his very own life, and that of Sita and nephew as well."
1804,
1805,"Sam Cade was the first feature-length ""movie"" put together from episodes of Cade's County, the early '70s series starring Glenn Ford as a modern-day sheriff in Madrid County, CA. In the first half, directed by Marvin Chomsky, Cade finds himself targeted for assassination when he's scheduled to testify in the trial of a mob kingpin -- what he doesn't know is that the assassin is one of his oldest friends (Darren McGavin), who is romancing another old friend (Loretta Swit) with a troubled past and using Cade's determination and his investigative skills to set him up for a hit. In the second half, directed by Richard Donner, Cade gets a tip that the mob has planned an assassination on a retired crime boss (Edward Asner) living in the county, who is so bull-headed and distrustful of the law that he won't accept any help or provide any information on who the killers might be, even though he's putting his own daughter (Shelley Fabares) at risk."
1806,"Hamilton's Rangers, led by our hero Gene, must keep the Indians in the northern Michigan territory from attacking the settlers."
1807,
1808,"Twins, who were separated at birth, reunite to bring together their divorced parents. A remake of Disney’s The Parent Trap, this uproarious comedy was a smash hit thanks to the melodious tunes penned by the legendary M. S. Viswanathan. For her adorable performance in the twin roles, Kutty Padmini became the first Tamil actress to win the National Film Award for Best Child Artist."
1809,A former Texas Ranger teams up with some of his old colleagues to rid the state of corruption in their new police force.
1810,"Mitzi Gaynor and guests Ted Knight (Mary Tyler Moore Show), Jerry Orbach (Chicago), Suzanne Pleshette (Bob Newhart Show) and Jane Withers in music, dance and comedy vignettes celebrating housewives. Songs include ""Married,"" ""I Can Cook, Too,"" and ""You Are the Sunshine of My Life."" The cast also attend a party performing ""The Little Things We Do Together"" from Stephen Sondheim's Company."
1811,Mitzi Gaynor does a tribute to the music of the 1920's.
1812,"Prahlada, Lord Vishnu's staunch devotee, is born to Hiranyakashipu (S.V. Ranga Rao) his father. Hiranyakashipu is determined to dissuade his son from worshipping Lord Vishnu, as the Lord killed his brother, Hiranyaksa. To prevent Prahlada's devotion, Hiranyakashipu is willing to go to any extent."
1813,"The Kids in the Hall is a Canadian sketch comedy group formed in 1984, consisting of comedians Dave Foley, Kevin McDonald, Bruce McCulloch, Mark McKinney, and Scott Thompson."
1814,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?"
1815,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play."
1816,"Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men."
1817,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
1818,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold."
1819,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score."
1820,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man."
1821,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent."
1822,"A girl who halfheartedly tries to be part of the ""in crowd"" of her school meets a rebel who teaches her a more devious way to play social politics: by killing the popular kids."
1823,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
1824,"After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth."
1825,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.
1826,"Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation."
1827,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust."
1828,A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.
1829,"Two friends are invited for a weekend to a luxury island with their boss. The boss gets killed and nobody seems to notice, except for the two friends. In order not to become suspects of murder they treat the body as a puppet and make people believe he's still alive. The killer wants to do his job so when he is informed that the stiff is still alive he's got to shoot him again, and again, and again."
1830,"Sylvester Stallone stars as hard-luck big-rig trucker Lincoln Hawk and takes us under the glaring Las Vegas lights for all the boisterous action of the World Armwrestling Championship.  Relying on wits and willpower, Hawk tries to rebuild his life by capturing the first-place prize money, and the love of the son he abandoned years earlier into the keeping of his rich, ruthless father-in-law."
1831,"Radio funny man Adrian Cronauer is sent to Vietnam to bring a little comedy back into the lives of the soldiers. After setting up shop, Cronauer delights the G.I.s but shocks his superior officer, Sergeant Major Dickerson, with his irreverent take on the war. While Dickerson attempts to censor Cronauer's broadcasts, Cronauer pursues a relationship with a Vietnamese girl named Trinh, who shows him the horrors of war first-hand."
1832,"Jack and Caroline are a couple making a decent living When Jack suddenly loses his job. They agree that he should stay at home and look after the house while Caroline works. It's just that he's never done it before, and really doesn't have a clue..."
1833,"When Adam, Prince of the planet Eternia, raises his magic sword he transforms into He-Man (the most powerful man in the universe).  With his allies and friends, he battles the evil Skeletor and his minions to protect the secrets of Castle Greyskull."
1834,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.
1835,"Wallace and Gromit are the main characters in a series of four British animated short films, several series of short interstitials, and a feature-length film by Nick Park of Aardman Animations. All the characters were made from moulded plasticine modelling clay on metal armatures, and filmed with stop motion clay animation. Wallace, an absent-minded inventor from Wigan, Lancashire, is a cheese enthusiast (especially for Wensleydale cheese). His companion, Gromit, appears to be rather more intelligent than his master. Wallace is voiced by veteran actor Peter Sallis; Gromit remains silent, communicating only through facial expressions and body language."
1836,"Journey to exciting places and build a lasting connection with your favorite books. Each episode centers on a theme from a book, or other children's literature, which is explored through a number of segments or stories."
1837,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
1838,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience."
1839,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.
1840,Join the Baywatch lifeguards on their thrilling adventures filled with beautiful beaches and those iconic red swimsuits.
1841,Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.
1842,"An Orange County teenager's carefree life of ditching class and skateboarding abandoned pools comes to a screeching halt when someone close to him dies. The cops rule the death a suicide, but the bereaved skater believes he was murdered. It's up to him to solve the case, with a skateboard."
1843,During the war in Afghanistan a Soviet tank crew commanded by a tyrannical officer find themselves lost and in a struggle against a band of Mujahadeen guerrillas in the mountains.
1844,"Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are."
1845,"Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. However, in Japan he manages to escape, and as they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game—the Japanese way."
1846,"After a Tibetan boy, the mystical Golden Child, is kidnapped by the evil Sardo Numspa, humankind's fate hangs in the balance. On the other side of the world in Los Angeles, the priestess Kee Nang seeks the Chosen One, who will save the boy from death. When Nang sees social worker Chandler Jarrell on television discussing his ability to find missing children, she solicits his expertise, despite his skepticism over being ""chosen."""
1847,"A young tomboy, Watts, finds her feelings for her best friend, Keith, run deeper than just friendship when he gets a date with the most popular girl in school."
1848,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years."
1849,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary."
1850,"Roger Cobb is an author who has just separated from his wife. He moves into a new house and tries to work on a novel based on his experiences in the Vietnam War. Strange things start happening around him; little things at first, but as they become more frequent, Cobb becomes aware that the house resents his presence."
1851,"A group of dancers congregate on the stage of a Broadway theatre to audition for a new musical production directed by Zach. After the initial eliminations, seventeen hopefuls remain, among them Cassie, who once had a tempestuous romantic relationship with Zach. She is desperate enough for work to humble herself and audition for him; whether he's willing to let professionalism overcome his personal feelings about their past remains to be seen."
1852,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers."
1853,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
